idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2276186,2025-08-03,Round 4,Hermannstadt,2,Universitatea Cluj,2,https://r2.thesportsdb.com/images/media/event/poster/r0pt191752395116.jpg,https://r2.thesportsdb.com/images/media/event/thumb/hpbvpl1752393683.jpg
2276187,2025-08-03,Round 4,CFR Cluj,2,Universitatea Craiova,3,https://r2.thesportsdb.com/images/media/event/poster/modg3f1752395120.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ela98t1752393687.jpg
2276183,2025-08-04,Round 4,Unirea Slobozia,0,Oțelul Galați,0,https://r2.thesportsdb.com/images/media/event/poster/gauudj1752395105.jpg,https://r2.thesportsdb.com/images/media/event/thumb/8w3wkn1752393672.jpg
2276184,2025-08-04,Round 4,Rapid București,2,Botoșani,1,https://r2.thesportsdb.com/images/media/event/poster/9wbcce1752395109.jpg,https://r2.thesportsdb.com/images/media/event/thumb/g32s7t1752393676.jpg
2276189,2025-08-08,Round 5,Metaloglobus București,0,Dinamo București,1,https://r2.thesportsdb.com/images/media/event/poster/f4vvod1752395123.jpg,https://r2.thesportsdb.com/images/media/event/thumb/oimrup1752393691.jpg
2276188,2025-08-09,Round 5,UTA Arad,2,Farul Constanța,1,https://r2.thesportsdb.com/images/media/event/poster/6e3k5m1688724704.jpg,https://r2.thesportsdb.com/images/media/event/thumb/4sj9961688717638.jpg
2276193,2025-08-09,Round 5,Universitatea Cluj,1,Petrolul Ploiești,1,https://r2.thesportsdb.com/images/media/event/poster/gduchg1752395137.jpg,https://r2.thesportsdb.com/images/media/event/thumb/rewswj1752393705.jpg
2276195,2025-08-10,Round 5,Universitatea Craiova,1,Hermannstadt,0,https://r2.thesportsdb.com/images/media/event/poster/ipa86z1752395144.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ovzrws1752393712.jpg
2276190,2025-08-10,Round 5,FCSB,0,Unirea Slobozia,1,https://r2.thesportsdb.com/images/media/event/poster/cnxtgg1752395127.jpg,https://r2.thesportsdb.com/images/media/event/thumb/xx0n0b1752393694.jpg
2276192,2025-08-11,Round 5,Botoșani,3,Argeș Pitești,1,https://r2.thesportsdb.com/images/media/event/poster/dy0lrq1752395134.jpg,https://r2.thesportsdb.com/images/media/event/thumb/2bltje1752393701.jpg
2276191,2025-08-11,Round 5,Oțelul Galați,1,Rapid București,1,https://r2.thesportsdb.com/images/media/event/poster/oah7by1752395130.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ia5raj1752393698.jpg
2276197,2025-08-15,Round 6,Unirea Slobozia,2,Metaloglobus București,1,https://r2.thesportsdb.com/images/media/event/poster/tcxxot1752395147.jpg,https://r2.thesportsdb.com/images/media/event/thumb/yyddf61752393716.jpg
2276196,2025-08-15,Round 6,Dinamo București,1,UTA Arad,1,https://r2.thesportsdb.com/images/media/event/poster/hb8ex71688724731.jpg,https://r2.thesportsdb.com/images/media/event/thumb/hunemh1688717671.jpg
2276202,2025-08-16,Round 6,Petrolul Ploiești,1,Hermannstadt,1,https://r2.thesportsdb.com/images/media/event/poster/kgyrtz1752395161.jpg,https://r2.thesportsdb.com/images/media/event/thumb/rgymet1752393748.jpg
2276203,2025-08-17,Round 6,Csíkszereda Miercurea Ciuc,1,Universitatea Craiova,2,https://r2.thesportsdb.com/images/media/event/poster/4czyxl1752395165.jpg,https://r2.thesportsdb.com/images/media/event/thumb/r91e0z1752393751.jpg
2276201,2025-08-17,Round 6,CFR Cluj,3,Botoșani,3,https://r2.thesportsdb.com/images/media/event/poster/enouab1752395158.jpg,https://r2.thesportsdb.com/images/media/event/thumb/nwbrbs1752393744.jpg
2276198,2025-08-17,Round 6,Rapid București,2,FCSB,2,https://r2.thesportsdb.com/images/media/event/poster/vwyds91752395151.jpg,https://r2.thesportsdb.com/images/media/event/thumb/w6zzbo1752393719.jpg
2276199,2025-08-18,Round 6,Argeș Pitești,2,Oțelul Galați,0,https://r2.thesportsdb.com/images/media/event/poster/h3sr4n1752395154.jpg,https://r2.thesportsdb.com/images/media/event/thumb/9drunf1752393741.jpg
2276200,2025-08-18,Round 6,Farul Constanța,0,Universitatea Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/7pdxua1688724683.jpg,https://r2.thesportsdb.com/images/media/event/thumb/8lk43a1688717616.jpg
