idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
1585011,2022-07-15,Round 1,FC Hermannstadt,3,CS Mioveni,0,,https://r2.thesportsdb.com/images/media/event/thumb/2r51hi1656876870.jpg
1585007,2022-07-15,Round 1,Universitatea Craiova,2,Sepsi OSK Sfântu Gheorghe,2,,https://r2.thesportsdb.com/images/media/event/thumb/d4gdi21638480158.jpg
1585006,2022-07-16,Round 1,Arges Pitesti,2,Uta Arad,0,,https://r2.thesportsdb.com/images/media/event/thumb/o5ylza1638480110.jpg
1585009,2022-07-16,Round 1,CFR Cluj-Napoca,1,Rapid Bucuresti,0,,https://r2.thesportsdb.com/images/media/event/thumb/co2nyw1638480308.jpg
1585010,2022-07-17,Round 1,Farul Constanta,2,FC U Craiova 1948,1,,https://r2.thesportsdb.com/images/media/event/thumb/68ibd51638480265.jpg
1585008,2022-07-17,Round 1,Steaua Bucuresti,1,Universitatea Cluj,1,,https://r2.thesportsdb.com/images/media/event/thumb/19wls51656876869.jpg
1585012,2022-07-18,Round 1,FC Botoșani,3,Chindia Târgoviște,2,,https://r2.thesportsdb.com/images/media/event/thumb/qbmwow1657632818.jpg
1585005,2022-07-18,Round 1,Petrolul,0,FC Voluntari,1,,https://r2.thesportsdb.com/images/media/event/thumb/ou5wtq1656876868.jpg
1585018,2022-07-22,Round 2,CS Mioveni,0,Farul Constanta,2,,https://r2.thesportsdb.com/images/media/event/thumb/mwsn7d1638480290.jpg
1585020,2022-07-23,Round 2,FC Voluntari,0,FC Botoșani,1,,https://r2.thesportsdb.com/images/media/event/thumb/fa5u1d1657632819.jpg
1585014,2022-07-24,Round 2,Sepsi OSK Sfântu Gheorghe,4,Arges Pitesti,0,,https://r2.thesportsdb.com/images/media/event/thumb/vm64gb1638480135.jpg
1585017,2022-07-24,Round 2,FC U Craiova 1948,3,CFR Cluj-Napoca,1,,https://r2.thesportsdb.com/images/media/event/thumb/dqxw831638480218.jpg
1585015,2022-07-24,Round 2,Universitatea Cluj,1,Universitatea Craiova,1,,https://r2.thesportsdb.com/images/media/event/thumb/ypfml01656876871.jpg
1585016,2022-07-24,Round 2,Rapid Bucuresti,2,Steaua Bucuresti,0,,https://r2.thesportsdb.com/images/media/event/thumb/8spdjq1638480136.jpg
1585019,2022-07-25,Round 2,Chindia Târgoviște,1,FC Hermannstadt,1,,https://r2.thesportsdb.com/images/media/event/thumb/76peal1656876871.jpg
1585013,2022-07-25,Round 2,Uta Arad,2,Petrolul,0,,https://r2.thesportsdb.com/images/media/event/thumb/jdk0261656876870.jpg
1585022,2022-07-29,Round 3,Arges Pitesti,3,Universitatea Cluj,1,,https://r2.thesportsdb.com/images/media/event/thumb/n5pkc71656876872.jpg
1585026,2022-07-29,Round 3,Farul Constanta,0,Chindia Târgoviște,0,,https://r2.thesportsdb.com/images/media/event/thumb/ass9j31638480282.jpg
1585028,2022-07-30,Round 3,FC Voluntari,3,Uta Arad,0,,https://r2.thesportsdb.com/images/media/event/thumb/7x3ueh1638480262.jpg
1585025,2022-07-30,Round 3,CFR Cluj-Napoca,4,CS Mioveni,2,,https://r2.thesportsdb.com/images/media/event/thumb/duf9zu1638480241.jpg
1585021,2022-07-31,Round 3,Petrolul,1,Sepsi OSK Sfântu Gheorghe,1,,https://r2.thesportsdb.com/images/media/event/thumb/c88ci41656876872.jpg
1585023,2022-07-31,Round 3,Universitatea Craiova,0,Rapid Bucuresti,1,,https://r2.thesportsdb.com/images/media/event/thumb/4xcz1e1638480266.jpg
1585024,2022-07-31,Round 3,Steaua Bucuresti,1,FC U Craiova 1948,1,,https://r2.thesportsdb.com/images/media/event/thumb/hjbfom1638480278.jpg
