season,team,round,gp,wins,draws,losses,points,gf,ga,gd,ppg,home_wins,home_draws,home_losses,home_gf,home_ga,away_wins,away_draws,away_losses,away_gf,away_ga,form_pts_last5,form_gd_last5,position,final_position,is_top6
2024_2025,CFR Cluj-Napoca,1,1,1,0,0,3,3,2,1,3.0,1,0,0,3,2,0,0,0,0,0,3,1,1,2,1
2024_2025,Otelul Galati,1,1,1,0,0,3,3,2,1,3.0,0,0,0,0,0,1,0,0,3,2,3,1,2,12,0
2024_2025,Unirea Slobozia,1,1,1,0,0,3,1,0,1,3.0,0,0,0,0,0,1,0,0,1,0,3,1,3,15,0
2024_2025,Sepsi OSK Sfântu Gheorghe,1,1,1,0,0,3,1,0,1,3.0,1,0,0,1,0,0,0,0,0,0,3,1,4,7,0
2024_2025,Uta Arad,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,5,11,0
2024_2025,Rapid Bucuresti,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,1,0,1,1,1,0,6,6,1
2024_2025,FCSB,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,7,1,1
2024_2025,Universitatea Cluj,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,1,0,1,1,1,0,8,4,1
2024_2025,FC Hermannstadt,1,1,0,1,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,9,8,0
2024_2025,Universitatea Craiova,1,1,0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,10,3,1
2024_2025,Petrolul,1,1,0,1,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,11,9,0
2024_2025,SCM Gloria Buzău,1,1,0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,12,16,0
2024_2025,Dinamo Bucuresti,1,1,0,0,1,0,2,3,-1,0.0,0,0,0,0,0,0,0,1,2,3,0,-1,13,5,1
2024_2025,FC Botoșani,1,1,0,0,1,0,2,3,-1,0.0,0,0,1,2,3,0,0,0,0,0,0,-1,14,13,0
2024_2025,Farul Constanta,1,1,0,0,1,0,0,1,-1,0.0,0,0,1,0,1,0,0,0,0,0,0,-1,15,10,0
2024_2025,Politehnica Iași,1,1,0,0,1,0,0,1,-1,0.0,0,0,0,0,0,0,0,1,0,1,0,-1,16,14,0
2024_2025,Sepsi OSK Sfântu Gheorghe,2,2,2,0,0,6,3,1,2,3.0,1,0,0,1,0,1,0,0,2,1,6,2,1,7,0
2024_2025,Universitatea Craiova,2,2,1,1,0,4,4,2,2,2.0,1,0,0,4,2,0,1,0,0,0,4,2,2,3,1
2024_2025,Universitatea Cluj,2,2,1,1,0,4,4,2,2,2.0,1,0,0,3,1,0,1,0,1,1,4,2,3,4,1
2024_2025,CFR Cluj-Napoca,2,2,1,1,0,4,5,4,1,2.0,1,0,0,3,2,0,1,0,2,2,4,1,4,2,1
2024_2025,Unirea Slobozia,2,2,1,1,0,4,3,2,1,2.0,0,1,0,2,2,1,0,0,1,0,4,1,5,15,0
2024_2025,Otelul Galati,2,2,1,1,0,4,3,2,1,2.0,0,1,0,0,0,1,0,0,3,2,4,1,6,12,0
2024_2025,Dinamo Bucuresti,2,2,1,0,1,3,6,4,2,1.5,1,0,0,4,1,0,0,1,2,3,3,2,7,5,1
2024_2025,Politehnica Iași,2,2,1,0,1,3,1,1,0,1.5,1,0,0,1,0,0,0,1,0,1,3,0,8,14,0
2024_2025,Rapid Bucuresti,2,2,0,2,0,2,3,3,0,1.0,0,1,0,2,2,0,1,0,1,1,2,0,9,6,1
2024_2025,FCSB,2,2,0,2,0,2,3,3,0,1.0,0,1,0,1,1,0,1,0,2,2,2,0,10,1,1
2024_2025,SCM Gloria Buzău,2,2,0,1,1,1,1,2,-1,0.5,0,0,1,1,2,0,1,0,0,0,1,-1,11,16,0
2024_2025,Farul Constanta,2,2,0,1,1,1,0,1,-1,0.5,0,0,1,0,1,0,1,0,0,0,1,-1,12,10,0
2024_2025,Uta Arad,2,2,0,1,1,1,3,5,-2,0.5,0,1,0,1,1,0,0,1,2,4,1,-2,13,11,0
2024_2025,FC Hermannstadt,2,2,0,1,1,1,1,3,-2,0.5,0,1,0,0,0,0,0,1,1,3,1,-2,14,8,0
2024_2025,Petrolul,2,2,0,1,1,1,1,4,-3,0.5,0,1,0,0,0,0,0,1,1,4,1,-3,15,9,0
2024_2025,FC Botoșani,2,2,0,0,2,0,2,4,-2,0.0,0,0,1,2,3,0,0,1,0,1,0,-2,16,13,0
2024_2025,Universitatea Craiova,3,3,2,1,0,7,6,2,4,2.3333,1,0,0,4,2,1,1,0,2,0,7,4,1,3,1
2024_2025,Otelul Galati,3,3,2,1,0,7,5,2,3,2.3333,0,1,0,0,0,2,0,0,5,2,7,3,2,12,0
2024_2025,Sepsi OSK Sfântu Gheorghe,3,3,2,1,0,7,4,2,2,2.3333,1,1,0,2,1,1,0,0,2,1,7,2,3,7,0
2024_2025,Universitatea Cluj,3,3,1,2,0,5,4,2,2,1.6667,1,0,0,3,1,0,2,0,1,1,5,2,4,4,1
2024_2025,Unirea Slobozia,3,3,1,2,0,5,4,3,1,1.6667,0,1,0,2,2,1,1,0,2,1,5,1,5,15,0
2024_2025,Dinamo Bucuresti,3,3,1,1,1,4,7,5,2,1.3333,1,0,0,4,1,0,1,1,3,4,4,2,6,5,1
2024_2025,SCM Gloria Buzău,3,3,1,1,1,4,3,3,0,1.3333,0,0,1,1,2,1,1,0,2,1,4,0,7,16,0
2024_2025,CFR Cluj-Napoca,3,3,1,1,1,4,5,6,-1,1.3333,1,0,1,3,4,0,1,0,2,2,4,-1,8,2,1
2024_2025,Petrolul,3,3,1,1,1,4,2,4,-2,1.3333,1,1,0,1,0,0,0,1,1,4,4,-2,9,9,0
2024_2025,FC Botoșani,3,3,1,0,2,3,3,4,-1,1.0,0,0,1,2,3,1,0,1,1,1,3,-1,10,13,0
2024_2025,Politehnica Iași,3,3,1,0,2,3,2,3,-1,1.0,1,0,1,2,2,0,0,1,0,1,3,-1,11,14,0
2024_2025,Rapid Bucuresti,3,3,0,2,1,2,3,4,-1,0.6667,0,1,0,2,2,0,1,1,1,2,2,-1,12,6,1
2024_2025,Uta Arad,3,3,0,2,1,2,3,5,-2,0.6667,0,2,0,1,1,0,0,1,2,4,2,-2,13,11,0
2024_2025,FCSB,3,3,0,2,1,2,3,5,-2,0.6667,0,1,1,1,3,0,1,0,2,2,2,-2,14,1,1
2024_2025,FC Hermannstadt,3,3,0,2,1,2,2,4,-2,0.6667,0,2,0,1,1,0,0,1,1,3,2,-2,15,8,0
2024_2025,Farul Constanta,3,3,0,1,2,1,0,2,-2,0.3333,0,0,2,0,2,0,1,0,0,0,1,-2,16,10,0
2024_2025,Otelul Galati,4,4,3,1,0,10,6,2,4,2.5,1,1,0,1,0,2,0,0,5,2,10,4,1,12,0
2024_2025,Universitatea Craiova,4,4,2,2,0,8,6,2,4,2.0,1,1,0,4,2,1,1,0,2,0,8,4,2,3,1
2024_2025,Universitatea Cluj,4,4,2,2,0,8,7,4,3,2.0,2,0,0,6,3,0,2,0,1,1,8,3,3,4,1
2024_2025,Sepsi OSK Sfântu Gheorghe,4,4,2,2,0,8,6,4,2,2.0,1,1,0,2,1,1,1,0,4,3,8,2,4,7,0
2024_2025,Dinamo Bucuresti,4,4,2,1,1,7,11,6,5,1.75,2,0,0,8,2,0,1,1,3,4,7,5,5,5,1
2024_2025,FC Botoșani,4,4,2,0,2,6,4,4,0,1.5,1,0,1,3,3,1,0,1,1,1,6,0,6,13,0
2024_2025,Unirea Slobozia,4,4,1,2,1,5,4,4,0,1.25,0,1,1,2,3,1,1,0,2,1,5,0,7,15,0
2024_2025,Uta Arad,4,4,1,2,1,5,4,5,-1,1.25,0,2,0,1,1,1,0,1,3,4,5,-1,8,11,0
2024_2025,Petrolul,4,4,1,2,1,5,2,4,-2,1.25,1,1,0,1,0,0,1,1,1,4,5,-2,9,9,0
2024_2025,Farul Constanta,4,4,1,1,2,4,2,2,0,1.0,1,0,2,2,2,0,1,0,0,0,4,0,10,10,0
2024_2025,CFR Cluj-Napoca,4,4,1,1,2,4,7,9,-2,1.0,1,0,1,3,4,0,1,1,4,5,4,-2,11,2,1
2024_2025,SCM Gloria Buzău,4,4,1,1,2,4,4,7,-3,1.0,0,0,1,1,2,1,1,1,3,5,4,-3,12,16,0
2024_2025,Rapid Bucuresti,4,4,0,3,1,3,5,6,-1,0.75,0,2,0,4,4,0,1,1,1,2,3,-1,13,6,1
2024_2025,Politehnica Iași,4,4,1,0,3,3,2,5,-3,0.75,1,0,1,2,2,0,0,2,0,3,3,-3,14,14,0
2024_2025,FCSB,4,4,0,2,2,2,3,6,-3,0.5,0,1,1,1,3,0,1,1,2,3,2,-3,15,1,1
2024_2025,FC Hermannstadt,4,4,0,2,2,2,2,5,-3,0.5,0,2,0,1,1,0,0,2,1,4,2,-3,16,8,0
2024_2025,Universitatea Craiova,5,5,3,2,0,11,8,3,5,2.2,1,1,0,4,2,2,1,0,4,1,11,5,1,3,1
2024_2025,Otelul Galati,5,5,3,2,0,11,7,3,4,2.2,1,1,0,1,0,2,1,0,6,3,11,4,2,12,0
2024_2025,Universitatea Cluj,5,5,2,3,0,9,7,4,3,1.8,2,0,0,6,3,0,3,0,1,1,9,3,3,4,1
2024_2025,Dinamo Bucuresti,5,5,2,2,1,8,13,8,5,1.6,2,0,0,8,2,0,2,1,5,6,8,5,4,5,1
2024_2025,Sepsi OSK Sfântu Gheorghe,5,5,2,2,1,8,7,6,1,1.6,1,1,1,3,3,1,1,0,4,3,8,1,5,7,0
2024_2025,CFR Cluj-Napoca,5,5,2,1,2,7,10,9,1,1.4,2,0,1,6,4,0,1,1,4,5,7,1,6,2,1
2024_2025,Uta Arad,5,5,1,3,1,6,5,6,-1,1.2,0,3,0,2,2,1,0,1,3,4,6,-1,7,11,0
2024_2025,FC Botoșani,5,5,2,0,3,6,5,6,-1,1.2,1,0,1,3,3,1,0,2,2,3,6,-1,8,13,0
2024_2025,Petrolul,5,5,1,3,1,6,2,4,-2,1.2,1,2,0,1,0,0,1,1,1,4,6,-2,9,9,0
2024_2025,FCSB,5,5,1,2,2,5,6,8,-2,1.0,1,1,1,4,5,0,1,1,2,3,5,-2,10,1,1
2024_2025,FC Hermannstadt,5,5,1,2,2,5,4,6,-2,1.0,1,2,0,3,2,0,0,2,1,4,5,-2,11,8,0
2024_2025,SCM Gloria Buzău,5,5,1,2,2,5,5,8,-3,1.0,0,1,1,2,3,1,1,1,3,5,5,-3,12,16,0
2024_2025,Unirea Slobozia,5,5,1,2,2,5,4,7,-3,1.0,0,1,1,2,3,1,1,1,2,4,5,-3,13,15,0
2024_2025,Rapid Bucuresti,5,5,0,4,1,4,6,7,-1,0.8,0,2,0,4,4,0,2,1,2,3,4,-1,14,6,1
2024_2025,Farul Constanta,5,5,1,1,3,4,4,5,-1,0.8,1,0,2,2,2,0,1,1,2,3,4,-1,15,10,0
2024_2025,Politehnica Iași,5,5,1,1,3,4,4,7,-3,0.8,1,1,1,4,4,0,0,2,0,3,4,-3,16,14,0
2024_2025,Universitatea Craiova,6,6,4,2,0,14,13,4,9,2.3333,2,1,0,9,3,2,1,0,4,1,13,9,1,3,1
2024_2025,Universitatea Cluj,6,6,3,3,0,12,10,4,6,2.0,3,0,0,9,3,0,3,0,1,1,11,6,2,4,1
2024_2025,Otelul Galati,6,6,3,2,1,11,7,4,3,1.8333,1,1,1,1,1,2,1,0,6,3,8,2,3,12,0
2024_2025,CFR Cluj-Napoca,6,6,3,1,2,10,11,9,2,1.6667,2,0,1,6,4,1,1,1,5,5,7,1,4,2,1
2024_2025,Dinamo Bucuresti,6,6,2,3,1,9,14,9,5,1.5,2,0,0,8,2,0,3,1,6,7,9,6,5,5,1
2024_2025,FC Botoșani,6,6,3,0,3,9,6,6,0,1.5,2,0,1,4,3,1,0,2,2,3,9,1,6,13,0
2024_2025,Petrolul,6,6,2,3,1,9,4,5,-1,1.5,1,2,0,1,0,1,1,1,3,5,8,-1,7,9,0
2024_2025,Sepsi OSK Sfântu Gheorghe,6,6,2,2,2,8,7,9,-2,1.3333,1,1,1,3,3,1,1,1,4,6,5,-3,8,7,0
2024_2025,Farul Constanta,6,6,2,1,3,7,7,7,0,1.1667,2,0,2,5,4,0,1,1,2,3,7,1,9,10,0
2024_2025,Politehnica Iași,6,6,2,1,3,7,5,7,-2,1.1667,1,1,1,4,4,1,0,2,1,3,7,-1,10,14,0
2024_2025,Uta Arad,6,6,1,3,2,6,5,7,-2,1.0,0,3,0,2,2,1,0,2,3,5,5,-2,11,11,0
2024_2025,Rapid Bucuresti,6,6,0,5,1,5,7,8,-1,0.8333,0,3,0,5,5,0,2,1,2,3,4,-1,12,6,1
2024_2025,FC Hermannstadt,6,6,1,2,3,5,6,9,-3,0.8333,1,2,0,3,2,0,0,3,3,7,4,-3,13,8,0
2024_2025,FCSB,6,6,1,2,3,5,6,9,-3,0.8333,1,1,2,4,6,0,1,1,2,3,4,-3,14,1,1
2024_2025,Unirea Slobozia,6,6,1,2,3,5,5,9,-4,0.8333,0,1,2,3,5,1,1,1,2,4,2,-5,15,15,0
2024_2025,SCM Gloria Buzău,6,6,1,2,3,5,6,13,-7,0.8333,0,1,1,2,3,1,1,2,4,10,4,-7,16,16,0
2024_2025,Universitatea Cluj,7,7,4,3,0,15,12,4,8,2.1429,3,0,0,9,3,1,3,0,3,1,11,6,1,4,1
2024_2025,Universitatea Craiova,7,7,4,2,1,14,14,6,8,2.0,2,1,0,9,3,2,1,1,5,3,10,6,2,3,1
2024_2025,CFR Cluj-Napoca,7,7,4,1,2,13,14,9,5,1.8571,3,0,1,9,4,1,1,1,5,5,9,4,3,2,1
2024_2025,Dinamo Bucuresti,7,7,3,3,1,12,16,10,6,1.7143,3,0,0,10,3,0,3,1,6,7,9,4,4,5,1
2024_2025,Otelul Galati,7,7,3,3,1,12,7,4,3,1.7143,1,1,1,1,1,2,2,0,6,3,8,2,5,12,0
2024_2025,Petrolul,7,7,2,4,1,10,4,5,-1,1.4286,1,3,0,1,0,1,1,1,3,5,9,2,6,9,0
2024_2025,FC Botoșani,7,7,3,0,4,9,6,9,-3,1.2857,2,0,1,4,3,1,0,3,2,6,9,-1,7,13,0
2024_2025,Rapid Bucuresti,7,7,1,5,1,8,9,9,0,1.1429,0,3,0,5,5,1,2,1,4,4,6,0,8,6,1
2024_2025,Farul Constanta,7,7,2,2,3,8,8,8,0,1.1429,2,0,2,5,4,0,2,1,3,4,7,1,9,10,0
2024_2025,FC Hermannstadt,7,7,2,2,3,8,8,9,-1,1.1429,2,2,0,5,2,0,0,3,3,7,7,1,10,8,0
2024_2025,Sepsi OSK Sfântu Gheorghe,7,7,2,2,3,8,7,10,-3,1.1429,1,1,2,3,4,1,1,1,4,6,2,-5,11,7,0
2024_2025,Unirea Slobozia,7,7,2,2,3,8,6,9,-3,1.1429,0,1,2,3,5,2,1,1,3,4,4,-4,12,15,0
2024_2025,Uta Arad,7,7,1,4,2,7,6,8,-2,1.0,0,4,0,3,3,1,0,2,3,5,6,0,13,11,0
2024_2025,Politehnica Iași,7,7,2,1,4,7,6,9,-3,1.0,1,1,2,5,6,1,0,2,1,3,4,-3,14,14,0
2024_2025,FCSB,7,7,1,2,4,5,6,11,-5,0.7143,1,1,2,4,6,0,1,2,2,5,3,-5,15,1,1
2024_2025,SCM Gloria Buzău,7,7,1,2,4,5,6,15,-9,0.7143,0,1,2,2,5,1,1,2,4,10,4,-8,16,16,0
2024_2025,Universitatea Cluj,8,8,5,3,0,18,13,4,9,2.25,4,0,0,10,3,1,3,0,3,1,13,7,1,4,1
2024_2025,CFR Cluj-Napoca,8,8,5,1,2,16,17,9,8,2.0,3,0,1,9,4,2,1,1,8,5,12,9,2,2,1
2024_2025,Universitatea Craiova,8,8,4,3,1,15,15,7,8,1.875,2,2,0,10,4,2,1,1,5,3,8,4,3,3,1
2024_2025,Otelul Galati,8,8,4,3,1,15,9,4,5,1.875,2,1,1,3,1,2,2,0,6,3,8,2,4,12,0
2024_2025,Petrolul,8,8,3,4,1,13,6,5,1,1.625,1,3,0,1,0,2,1,1,5,5,9,3,5,9,0
2024_2025,Dinamo Bucuresti,8,8,3,3,2,12,16,11,5,1.5,3,0,0,10,3,0,3,2,6,8,8,3,6,5,1
2024_2025,FC Hermannstadt,8,8,3,2,3,11,14,11,3,1.375,3,2,0,11,4,0,0,3,3,7,9,5,7,8,0
