season,team,round,gp,wins,draws,losses,points,gf,ga,gd,ppg,home_wins,home_draws,home_losses,home_gf,home_ga,away_wins,away_draws,away_losses,away_gf,away_ga,form_pts_last5,form_gd_last5,position,final_position,is_top6
2021_2022,Sepsi OSK Sfântu Gheorghe,1,1,1,0,0,3,2,0,2,3.0,1,0,0,2,0,0,0,0,0,0,3,2,1,10,0
2021_2022,CFR Cluj-Napoca,1,1,1,0,0,3,3,2,1,3.0,1,0,0,3,2,0,0,0,0,0,3,1,2,1,1
2021_2022,Dinamo Bucuresti ,1,1,1,0,0,3,3,2,1,3.0,1,0,0,3,2,0,0,0,0,0,3,1,3,15,0
2021_2022,Gaz Metan Mediaș,1,1,1,0,0,3,1,0,1,3.0,1,0,0,1,0,0,0,0,0,0,3,1,4,14,0
2021_2022,Universitatea Craiova,1,1,1,0,0,3,1,0,1,3.0,1,0,0,1,0,0,0,0,0,0,3,1,5,3,1
2021_2022,Rapid Bucuresti,1,1,1,0,0,3,1,0,1,3.0,1,0,0,1,0,0,0,0,0,0,3,1,6,9,0
2021_2022,FC Botoșani,1,1,0,1,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,7,7,0
2021_2022,Steaua Bucuresti,1,1,0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,8,2,1
2021_2022,Uta Arad,1,1,0,1,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,9,8,0
2021_2022,Farul Constanta,1,1,0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,10,4,1
2021_2022,FC U Craiova 1948,1,1,0,0,1,0,2,3,-1,0.0,0,0,0,0,0,0,0,1,2,3,0,-1,11,12,0
2021_2022,FC Voluntari,1,1,0,0,1,0,2,3,-1,0.0,0,0,0,0,0,0,0,1,2,3,0,-1,12,6,1
