season,team,round,gp,wins,draws,losses,points,gf,ga,gd,ppg,home_wins,home_draws,home_losses,home_gf,home_ga,away_wins,away_draws,away_losses,away_gf,away_ga,form_pts_last5,form_gd_last5,position,final_position,is_top6
2022_2023,FC Hermannstadt,1,1,1,0,0,3,3,0,3,3.0,1,0,0,3,0,0,0,0,0,0,3,3,1,7,0
2022_2023,Arges Pitesti,1,1,1,0,0,3,2,0,2,3.0,1,0,0,2,0,0,0,0,0,0,3,2,2,15,0
2022_2023,FC Botoșani,1,1,1,0,0,3,3,2,1,3.0,1,0,0,3,2,0,0,0,0,0,3,1,3,13,0
2022_2023,Farul Constanta,1,1,1,0,0,3,2,1,1,3.0,1,0,0,2,1,0,0,0,0,0,3,1,4,1,1
2022_2023,CFR Cluj-Napoca,1,1,1,0,0,3,1,0,1,3.0,1,0,0,1,0,0,0,0,0,0,3,1,5,2,1
2022_2023,FC Voluntari,1,1,1,0,0,3,1,0,1,3.0,0,0,0,0,0,1,0,0,1,0,3,1,6,10,0
2022_2023,Universitatea Craiova,1,1,0,1,0,1,2,2,0,1.0,0,1,0,2,2,0,0,0,0,0,1,0,7,4,1
2022_2023,Sepsi OSK Sfântu Gheorghe,1,1,0,1,0,1,2,2,0,1.0,0,0,0,0,0,0,1,0,2,2,1,0,8,6,1
2022_2023,Steaua Bucuresti,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,9,3,1
2022_2023,Universitatea Cluj,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,1,0,1,1,1,0,10,11,0
2022_2023,Chindia Târgoviște,1,1,0,0,1,0,2,3,-1,0.0,0,0,0,0,0,0,0,1,2,3,0,-1,11,12,0
2022_2023,FC U Craiova 1948,1,1,0,0,1,0,1,2,-1,0.0,0,0,0,0,0,0,0,1,1,2,0,-1,12,8,0
2022_2023,Rapid Bucuresti,1,1,0,0,1,0,0,1,-1,0.0,0,0,0,0,0,0,0,1,0,1,0,-1,13,5,1
2022_2023,Petrolul,1,1,0,0,1,0,0,1,-1,0.0,0,0,1,0,1,0,0,0,0,0,0,-1,14,9,0
2022_2023,Uta Arad,1,1,0,0,1,0,0,2,-2,0.0,0,0,0,0,0,0,0,1,0,2,0,-2,15,14,0
2022_2023,CS Mioveni,1,1,0,0,1,0,0,3,-3,0.0,0,0,0,0,0,0,0,1,0,3,0,-3,16,16,0
2022_2023,Farul Constanta,2,2,2,0,0,6,4,1,3,3.0,1,0,0,2,1,1,0,0,2,0,6,3,1,1,1
2022_2023,FC Botoșani,2,2,2,0,0,6,4,2,2,3.0,1,0,0,3,2,1,0,0,1,0,6,2,2,13,0
2022_2023,Sepsi OSK Sfântu Gheorghe,2,2,1,1,0,4,6,2,4,2.0,1,0,0,4,0,0,1,0,2,2,4,4,3,6,1
2022_2023,FC Hermannstadt,2,2,1,1,0,4,4,1,3,2.0,1,0,0,3,0,0,1,0,1,1,4,3,4,7,0
2022_2023,FC U Craiova 1948,2,2,1,0,1,3,4,3,1,1.5,1,0,0,3,1,0,0,1,1,2,3,1,5,8,0
2022_2023,Rapid Bucuresti,2,2,1,0,1,3,2,1,1,1.5,1,0,0,2,0,0,0,1,0,1,3,1,6,5,1
2022_2023,Uta Arad,2,2,1,0,1,3,2,2,0,1.5,1,0,0,2,0,0,0,1,0,2,3,0,7,14,0
2022_2023,FC Voluntari,2,2,1,0,1,3,1,1,0,1.5,0,0,1,0,1,1,0,0,1,0,3,0,8,10,0
2022_2023,CFR Cluj-Napoca,2,2,1,0,1,3,2,3,-1,1.5,1,0,0,1,0,0,0,1,1,3,3,-1,9,2,1
2022_2023,Arges Pitesti,2,2,1,0,1,3,2,4,-2,1.5,1,0,0,2,0,0,0,1,0,4,3,-2,10,15,0
2022_2023,Universitatea Craiova,2,2,0,2,0,2,3,3,0,1.0,0,1,0,2,2,0,1,0,1,1,2,0,11,4,1
2022_2023,Universitatea Cluj,2,2,0,2,0,2,2,2,0,1.0,0,1,0,1,1,0,1,0,1,1,2,0,12,11,0
2022_2023,Chindia Târgoviște,2,2,0,1,1,1,3,4,-1,0.5,0,1,0,1,1,0,0,1,2,3,1,-1,13,12,0
2022_2023,Steaua Bucuresti,2,2,0,1,1,1,1,3,-2,0.5,0,1,0,1,1,0,0,1,0,2,1,-2,14,3,1
2022_2023,Petrolul,2,2,0,0,2,0,0,3,-3,0.0,0,0,1,0,1,0,0,1,0,2,0,-3,15,9,0
2022_2023,CS Mioveni,2,2,0,0,2,0,0,5,-5,0.0,0,0,1,0,2,0,0,1,0,3,0,-5,16,16,0
