season,team,round,gp,wins,draws,losses,points,gf,ga,gd,ppg,home_wins,home_draws,home_losses,home_gf,home_ga,away_wins,away_draws,away_losses,away_gf,away_ga,form_pts_last5,form_gd_last5,position,final_position,is_top6
2023_2024,Steaua Bucuresti,1,1,1,0,0,3,3,1,2,3.0,0,0,0,0,0,1,0,0,3,1,3,2,1,1,1
2023_2024,CFR Cluj-Napoca,1,1,1,0,0,3,2,0,2,3.0,1,0,0,2,0,0,0,0,0,0,3,2,2,3,1
2023_2024,Universitatea Craiova,1,1,1,0,0,3,2,0,2,3.0,0,0,0,0,0,1,0,0,2,0,3,2,3,4,1
2023_2024,FC Voluntari,1,1,1,0,0,3,2,1,1,3.0,1,0,0,2,1,0,0,0,0,0,3,1,4,15,0
2023_2024,Farul Constanta,1,1,1,0,0,3,1,0,1,3.0,0,0,0,0,0,1,0,0,1,0,3,1,5,6,1
2023_2024,Otelul Galati,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,6,11,0
2023_2024,Uta Arad,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,1,0,1,1,1,0,7,9,0
2023_2024,Petrolul,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,8,10,0
2023_2024,Universitatea Cluj,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,1,0,1,1,1,0,9,7,0
2023_2024,Rapid Bucuresti,1,1,0,1,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,10,2,1
2023_2024,Sepsi OSK Sfântu Gheorghe,1,1,0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,11,5,1
2023_2024,FC Botoșani,1,1,0,0,1,0,1,2,-1,0.0,0,0,0,0,0,0,0,1,1,2,0,-1,12,16,0
2023_2024,FC Hermannstadt,1,1,0,0,1,0,0,1,-1,0.0,0,0,1,0,1,0,0,0,0,0,0,-1,13,8,0
