idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
1280638,2021-07-15,Round 1,FC Botoșani,0,Steaua Bucuresti,0,,https://r2.thesportsdb.com/images/media/event/thumb/2s7w191638480103.jpg
1280639,2021-07-16,Round 1,Sepsi OSK Sfântu Gheorghe,2,Academica Clinceni,0,,https://r2.thesportsdb.com/images/media/event/thumb/mmn2gh1638480104.jpg
1280640,2021-07-16,Round 1,CFR Cluj-Napoca,3,FC U Craiova 1948,2,,https://r2.thesportsdb.com/images/media/event/thumb/4ndzjs1638480105.jpg
1280641,2021-07-17,Round 1,Gaz Metan Mediaș,1,CS Mioveni,0,,https://r2.thesportsdb.com/images/media/event/thumb/f88fzp1638480106.jpg
1280642,2021-07-17,Round 1,Universitatea Craiova,1,Arges Pitesti,0,,https://r2.thesportsdb.com/images/media/event/thumb/stltms1638480107.jpg
1280643,2021-07-18,Round 1,Uta Arad,0,Farul Constanta,0,,https://r2.thesportsdb.com/images/media/event/thumb/uji7f81638480108.jpg
1280644,2021-07-18,Round 1,Rapid Bucuresti,1,Chindia Târgoviște,0,,https://r2.thesportsdb.com/images/media/event/thumb/dud2uf1638480109.jpg
1280645,2021-07-19,Round 1,Dinamo Bucuresti ,3,FC Voluntari,2,,https://r2.thesportsdb.com/images/media/event/thumb/pic5rs1638480109.jpg
1280646,2021-07-23,Round 2,Arges Pitesti,0,Uta Arad,1,,https://r2.thesportsdb.com/images/media/event/thumb/o5ylza1638480110.jpg
1280647,2021-07-23,Round 2,CS Mioveni,0,Rapid Bucuresti,2,,https://r2.thesportsdb.com/images/media/event/thumb/9sz1be1638480111.jpg
1280648,2021-07-24,Round 2,FC Voluntari,0,FC Botoșani,1,,https://r2.thesportsdb.com/images/media/event/thumb/vzrivy1638480112.jpg
1280649,2021-07-24,Round 2,Academica Clinceni,1,CFR Cluj-Napoca,2,,https://r2.thesportsdb.com/images/media/event/thumb/nstfkm1638480113.jpg
1280650,2021-07-25,Round 2,Farul Constanta,2,Gaz Metan Mediaș,0,,https://r2.thesportsdb.com/images/media/event/thumb/2n810b1638480114.jpg
1280651,2021-07-25,Round 2,Steaua Bucuresti,4,Universitatea Craiova,1,,https://r2.thesportsdb.com/images/media/event/thumb/0uaxub1638480115.jpg
1280652,2021-07-26,Round 2,Chindia Târgoviște,1,Sepsi OSK Sfântu Gheorghe,1,,https://r2.thesportsdb.com/images/media/event/thumb/wctsml1638480116.jpg
1280653,2021-07-26,Round 2,FC U Craiova 1948,1,Dinamo Bucuresti ,0,,https://r2.thesportsdb.com/images/media/event/thumb/xja30u1638480117.jpg
1280658,2021-07-30,Round 3,Gaz Metan Mediaș,2,Arges Pitesti,2,,https://r2.thesportsdb.com/images/media/event/thumb/zb85vj1638480122.jpg
1280657,2021-07-30,Round 3,Rapid Bucuresti,0,Farul Constanta,0,,https://r2.thesportsdb.com/images/media/event/thumb/sjb4n61638480121.jpg
1280661,2021-07-31,Round 3,FC Voluntari,2,FC U Craiova 1948,1,,https://r2.thesportsdb.com/images/media/event/thumb/h7qi571638480124.jpg
1280655,2021-07-31,Round 3,CFR Cluj-Napoca,1,Chindia Târgoviște,0,,https://r2.thesportsdb.com/images/media/event/thumb/81y6sk1638480119.jpg
1280660,2021-08-01,Round 3,Universitatea Craiova,1,FC Botoșani,2,,https://r2.thesportsdb.com/images/media/event/thumb/pcg51r1638480123.jpg
1280659,2021-08-01,Round 3,Uta Arad,1,Steaua Bucuresti,1,,https://r2.thesportsdb.com/images/media/event/thumb/n032ws1638480123.jpg
1280656,2021-08-02,Round 3,Sepsi OSK Sfântu Gheorghe,1,CS Mioveni,2,,https://r2.thesportsdb.com/images/media/event/thumb/34adnu1638480120.jpg
1280654,2021-08-02,Round 3,Dinamo Bucuresti ,3,Academica Clinceni,1,,https://r2.thesportsdb.com/images/media/event/thumb/ir8amf1638480118.jpg
1280667,2021-08-06,Round 4,FC Botoșani,2,Uta Arad,1,,https://r2.thesportsdb.com/images/media/event/thumb/55rydo1638480130.jpg
1280663,2021-08-06,Round 4,CS Mioveni,0,CFR Cluj-Napoca,1,,https://r2.thesportsdb.com/images/media/event/thumb/w9rj521638480126.jpg
1280668,2021-08-07,Round 4,Academica Clinceni,1,FC U Craiova 1948,2,,https://r2.thesportsdb.com/images/media/event/thumb/nkcbz51638480131.jpg
1280665,2021-08-07,Round 4,Arges Pitesti,0,Rapid Bucuresti,1,,https://r2.thesportsdb.com/images/media/event/thumb/dn0bsa1638480128.jpg
1280662,2021-08-08,Round 4,Chindia Târgoviște,1,Dinamo Bucuresti ,0,,https://r2.thesportsdb.com/images/media/event/thumb/slr6pn1638480125.jpg
1280666,2021-08-08,Round 4,Steaua Bucuresti,2,Gaz Metan Mediaș,1,,https://r2.thesportsdb.com/images/media/event/thumb/ju8xpj1638480129.jpg
1280664,2021-08-09,Round 4,Farul Constanta,1,Sepsi OSK Sfântu Gheorghe,0,,https://r2.thesportsdb.com/images/media/event/thumb/rxmc1l1638480127.jpg
1280669,2021-08-09,Round 4,Universitatea Craiova,3,FC Voluntari,0,,https://r2.thesportsdb.com/images/media/event/thumb/54fk3f1638480132.jpg
1280677,2021-08-13,Round 5,FC Voluntari,1,Academica Clinceni,0,,https://r2.thesportsdb.com/images/media/event/thumb/ks9fcm1638480140.jpg
1280671,2021-08-13,Round 5,CFR Cluj-Napoca,1,Farul Constanta,0,,https://r2.thesportsdb.com/images/media/event/thumb/k4i0211638480134.jpg
1280675,2021-08-14,Round 5,FC U Craiova 1948,0,Chindia Târgoviște,0,,https://r2.thesportsdb.com/images/media/event/thumb/m3lisu1638480138.jpg
