idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
1033351,2020-08-21,Round 1,Arges Pitesti,2,FC Botoșani,3,,
1033352,2020-08-22,Round 1,Viitorul Constanța,1,Uta Arad,1,,
1033353,2020-08-22,Round 1,Sepsi OSK Sfântu Gheorghe,0,Universitatea Craiova,1,,
1033354,2020-08-22,Round 1,Astra ,0,Steaua Bucuresti,3,,
1033355,2020-08-23,Round 1,Politehnica Iași,1,Chindia Târgoviște,0,,
1033356,2020-08-23,Round 1,Academica Clinceni,1,CFR Cluj-Napoca,2,,
1033357,2020-08-24,Round 1,FC Voluntari,2,Gaz Metan Mediaș,1,,
1033358,2020-08-24,Round 1,Dinamo Bucuresti ,1,FC Hermannstadt,1,,
1033359,2020-08-28,Round 2,Gaz Metan Mediaș,2,Arges Pitesti,0,,
1033360,2020-08-28,Round 2,Uta Arad,0,FC Voluntari,0,,
1033361,2020-08-29,Round 2,FC Hermannstadt,2,Academica Clinceni,2,,
1033362,2020-08-29,Round 2,CFR Cluj-Napoca,0,Sepsi OSK Sfântu Gheorghe,0,,
1033363,2020-08-30,Round 2,FC Botoșani,4,Politehnica Iași,0,,
1033364,2020-08-30,Round 2,Universitatea Craiova,2,Astra ,0,,
1033365,2020-08-30,Round 2,Steaua Bucuresti,3,Viitorul Constanța,0,,
1033366,2020-08-31,Round 2,Chindia Târgoviște,1,Dinamo Bucuresti ,0,,
1033370,2020-09-11,Round 3,Arges Pitesti,1,Uta Arad,1,,
1033368,2020-09-11,Round 3,Dinamo Bucuresti ,1,FC Botoșani,1,,
1033367,2020-09-12,Round 3,Academica Clinceni,0,Chindia Târgoviște,0,,
1033369,2020-09-12,Round 3,Politehnica Iași,1,Gaz Metan Mediaș,4,,
1033371,2020-09-12,Round 3,FC Voluntari,2,Steaua Bucuresti,1,,
1033373,2020-09-13,Round 3,Astra ,2,Sepsi OSK Sfântu Gheorghe,2,,
1033374,2020-09-13,Round 3,CFR Cluj-Napoca,1,FC Hermannstadt,0,,
1033372,2020-09-14,Round 3,Viitorul Constanța,1,Universitatea Craiova,4,,
1033381,2020-09-18,Round 4,Chindia Târgoviște,1,FC Hermannstadt,3,,
1033382,2020-09-18,Round 4,Astra ,0,CFR Cluj-Napoca,2,,
1033380,2020-09-19,Round 4,Sepsi OSK Sfântu Gheorghe,1,Viitorul Constanța,1,,
1033379,2020-09-19,Round 4,Universitatea Craiova,2,FC Voluntari,1,,
1033375,2020-09-20,Round 4,FC Botoșani,0,Academica Clinceni,0,,
1033377,2020-09-20,Round 4,Uta Arad,2,Politehnica Iași,3,,
1033378,2020-09-20,Round 4,Steaua Bucuresti,3,Arges Pitesti,0,,
1033376,2020-09-21,Round 4,Gaz Metan Mediaș,1,Dinamo Bucuresti ,3,,
1033387,2020-09-25,Round 5,FC Voluntari,1,Sepsi OSK Sfântu Gheorghe,2,,
1033386,2020-09-25,Round 5,Arges Pitesti,1,Universitatea Craiova,2,,
1033383,2020-09-26,Round 5,Academica Clinceni,2,Gaz Metan Mediaș,0,,
