idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
1841669,2023-07-14,Round 1,Otelul Galati,1,Uta Arad,1,https://r2.thesportsdb.com/images/media/event/poster/nysloc1688724644.jpg,https://r2.thesportsdb.com/images/media/event/thumb/wr7cce1688717572.jpg
1841672,2023-07-14,Round 1,Rapid Bucuresti,0,Sepsi OSK Sfântu Gheorghe,0,https://r2.thesportsdb.com/images/media/event/poster/26v5at1688724646.jpg,https://r2.thesportsdb.com/images/media/event/thumb/kme2wu1688717573.jpg
1841671,2023-07-15,Round 1,FC Hermannstadt,0,Farul Constanta,1,https://r2.thesportsdb.com/images/media/event/poster/x3t4d01688724645.jpg,https://r2.thesportsdb.com/images/media/event/thumb/l0mitu1688717573.jpg
1841670,2023-07-15,Round 1,CFR Cluj-Napoca,2,Politehnica Iași,0,https://r2.thesportsdb.com/images/media/event/poster/iclcs51688724645.jpg,https://r2.thesportsdb.com/images/media/event/thumb/4rnwq01688717572.jpg
1841673,2023-07-16,Round 1,Petrolul,1,Universitatea Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/2hkdkn1688724646.jpg,https://r2.thesportsdb.com/images/media/event/thumb/hpqwik1688717574.jpg
1841674,2023-07-16,Round 1,FC U Craiova 1948,1,Steaua Bucuresti,3,https://r2.thesportsdb.com/images/media/event/poster/1nct6c1688724646.jpg,https://r2.thesportsdb.com/images/media/event/thumb/vwzz7m1688717574.jpg
1841675,2023-07-17,Round 1,FC Voluntari,2,FC Botoșani,1,https://r2.thesportsdb.com/images/media/event/poster/biuntr1688724647.jpg,https://r2.thesportsdb.com/images/media/event/thumb/g89xi71688717575.jpg
1841676,2023-07-17,Round 1,Dinamo Bucuresti,0,Universitatea Craiova,2,https://r2.thesportsdb.com/images/media/event/poster/ccz46d1688724647.jpg,https://r2.thesportsdb.com/images/media/event/thumb/x0iyiq1688717575.jpg
1841677,2023-07-21,Round 2,Sepsi OSK Sfântu Gheorghe,1,FC U Craiova 1948,0,https://r2.thesportsdb.com/images/media/event/poster/uobkfk1688724648.jpg,https://r2.thesportsdb.com/images/media/event/thumb/wxldi21688717575.jpg
1841678,2023-07-21,Round 2,Uta Arad,1,CFR Cluj-Napoca,3,https://r2.thesportsdb.com/images/media/event/poster/jhx26o1688724648.jpg,https://r2.thesportsdb.com/images/media/event/thumb/t8f3ww1688717576.jpg
1841679,2023-07-22,Round 2,Farul Constanta,4,FC Voluntari,1,https://r2.thesportsdb.com/images/media/event/poster/0djz2r1688724649.jpg,https://r2.thesportsdb.com/images/media/event/thumb/rwnf9t1688717577.jpg
1841680,2023-07-22,Round 2,Steaua Bucuresti,2,Dinamo Bucuresti,1,https://r2.thesportsdb.com/images/media/event/poster/l4shf41688724649.jpg,https://r2.thesportsdb.com/images/media/event/thumb/6eecyi1688717577.jpg
1841681,2023-07-23,Round 2,Politehnica Iași,1,FC Hermannstadt,3,https://r2.thesportsdb.com/images/media/event/poster/4e54qw1688724649.jpg,https://r2.thesportsdb.com/images/media/event/thumb/zfqc1z1688717577.jpg
1841682,2023-07-23,Round 2,Universitatea Cluj,0,Rapid Bucuresti,3,https://r2.thesportsdb.com/images/media/event/poster/q70ge31688724650.jpg,https://r2.thesportsdb.com/images/media/event/thumb/zkdt801688717578.jpg
1841683,2023-07-24,Round 2,FC Botoșani,1,Petrolul,1,https://r2.thesportsdb.com/images/media/event/poster/ir61yx1688724650.jpg,https://r2.thesportsdb.com/images/media/event/thumb/xhw0391688717578.jpg
1841684,2023-07-24,Round 2,Universitatea Craiova,0,Otelul Galati,0,https://r2.thesportsdb.com/images/media/event/poster/fy8ka81688724651.jpg,https://r2.thesportsdb.com/images/media/event/thumb/b8kld71688717579.jpg
1841689,2023-07-28,Round 3,FC U Craiova 1948,3,Universitatea Cluj,4,https://r2.thesportsdb.com/images/media/event/poster/jxan101688724653.jpg,https://r2.thesportsdb.com/images/media/event/thumb/dchvwq1688717581.jpg
1841690,2023-07-28,Round 3,Rapid Bucuresti,2,FC Botoșani,2,https://r2.thesportsdb.com/images/media/event/poster/jfjig21688724653.jpg,https://r2.thesportsdb.com/images/media/event/thumb/v7g6dq1688717581.jpg
