idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2085841,2024-07-12,Round 1,Farul Constanta,0,Unirea Slobozia,1,https://r2.thesportsdb.com/images/media/event/poster/tgv4ot1720001378.jpg,https://r2.thesportsdb.com/images/media/event/thumb/aw6amw1720001140.jpg
2085839,2024-07-12,Round 1,FC Hermannstadt,0,Universitatea Craiova,0,https://r2.thesportsdb.com/images/media/event/poster/auwg9j1720001377.jpg,https://r2.thesportsdb.com/images/media/event/thumb/j3gcv01720001139.jpg
2085835,2024-07-13,Round 1,Sepsi OSK Sfântu Gheorghe,1,Politehnica Iași,0,https://r2.thesportsdb.com/images/media/event/poster/0c1n0p1720001376.jpg,https://r2.thesportsdb.com/images/media/event/thumb/cv58r91720001136.jpg
2085838,2024-07-13,Round 1,Uta Arad,1,Rapid Bucuresti,1,https://r2.thesportsdb.com/images/media/event/poster/n1odk51720001377.jpg,https://r2.thesportsdb.com/images/media/event/thumb/bm1ayq1720001138.jpg
2085840,2024-07-13,Round 1,FCSB,1,Universitatea Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/2c9ssp1720001378.jpg,https://r2.thesportsdb.com/images/media/event/thumb/o0xhxz1720001139.jpg
2085837,2024-07-14,Round 1,CFR Cluj-Napoca,3,Dinamo Bucuresti,2,https://r2.thesportsdb.com/images/media/event/poster/4cgdbn1720001376.jpg,https://r2.thesportsdb.com/images/media/event/thumb/pe66tj1720001137.jpg
2085842,2024-07-15,Round 1,FC Botoșani,2,Otelul Galati,3,https://r2.thesportsdb.com/images/media/event/poster/kopwqy1720001379.jpg,https://r2.thesportsdb.com/images/media/event/thumb/mhzyad1720001140.jpg
2085836,2024-07-15,Round 1,Petrolul,0,SCM Gloria Buzău,0,https://r2.thesportsdb.com/images/media/event/poster/ylu7xv1720001376.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ir6dtb1720001137.jpg
2085850,2024-07-19,Round 2,Politehnica Iași,1,FC Botoșani,0,https://r2.thesportsdb.com/images/media/event/poster/yes2wq1720001382.jpg,https://r2.thesportsdb.com/images/media/event/thumb/pboq7m1720001145.jpg
2085848,2024-07-19,Round 2,Unirea Slobozia,2,FCSB,2,https://r2.thesportsdb.com/images/media/event/poster/o2sd8z1720001381.jpg,https://r2.thesportsdb.com/images/media/event/thumb/7tg3mh1720001144.jpg
2085846,2024-07-20,Round 2,Universitatea Craiova,4,Uta Arad,2,https://r2.thesportsdb.com/images/media/event/poster/eu0yvv1720001381.jpg,https://r2.thesportsdb.com/images/media/event/thumb/hgy1vo1720001143.jpg
2085845,2024-07-20,Round 2,Rapid Bucuresti,2,CFR Cluj-Napoca,2,https://r2.thesportsdb.com/images/media/event/poster/03ccv91720001380.jpg,https://r2.thesportsdb.com/images/media/event/thumb/4vpuoc1720001142.jpg
2085847,2024-07-21,Round 2,Universitatea Cluj,3,FC Hermannstadt,1,https://r2.thesportsdb.com/images/media/event/poster/2rvt1r1720001381.jpg,https://r2.thesportsdb.com/images/media/event/thumb/yk73251720001143.jpg
2085844,2024-07-21,Round 2,Dinamo Bucuresti,4,Petrolul,1,https://r2.thesportsdb.com/images/media/event/poster/eos1g61720001380.jpg,https://r2.thesportsdb.com/images/media/event/thumb/isubuq1720001141.jpg
2085843,2024-07-22,Round 2,SCM Gloria Buzău,1,Sepsi OSK Sfântu Gheorghe,2,https://r2.thesportsdb.com/images/media/event/poster/bcyidp1720001379.jpg,https://r2.thesportsdb.com/images/media/event/thumb/a9tigk1720001141.jpg
2085849,2024-07-22,Round 2,Otelul Galati,0,Farul Constanta,0,https://r2.thesportsdb.com/images/media/event/poster/v2os1e1720001382.jpg,https://r2.thesportsdb.com/images/media/event/thumb/soluf11720001144.jpg
2085855,2024-07-26,Round 3,FC Hermannstadt,1,Unirea Slobozia,1,https://r2.thesportsdb.com/images/media/event/poster/rs6hs91720001385.jpg,https://r2.thesportsdb.com/images/media/event/thumb/5w8ejn1720001148.jpg
2085856,2024-07-26,Round 3,FCSB,0,Otelul Galati,2,https://r2.thesportsdb.com/images/media/event/poster/49ut9n1720001385.jpg,https://r2.thesportsdb.com/images/media/event/thumb/tw59tk1720001148.jpg
2085858,2024-07-27,Round 3,Politehnica Iași,1,SCM Gloria Buzău,2,https://r2.thesportsdb.com/images/media/event/poster/hoob5r1720001386.jpg,https://r2.thesportsdb.com/images/media/event/thumb/rtqyg71720001149.jpg
2085851,2024-07-27,Round 3,Sepsi OSK Sfântu Gheorghe,1,Dinamo Bucuresti,1,https://r2.thesportsdb.com/images/media/event/poster/n3pbcn1720001383.jpg,https://r2.thesportsdb.com/images/media/event/thumb/si3or21720001145.jpg
2085857,2024-07-28,Round 3,Farul Constanta,0,FC Botoșani,1,https://r2.thesportsdb.com/images/media/event/poster/n89wyv1720001385.jpg,https://r2.thesportsdb.com/images/media/event/thumb/8hgnlm1720001149.jpg
2085853,2024-07-28,Round 3,CFR Cluj-Napoca,0,Universitatea Craiova,2,https://r2.thesportsdb.com/images/media/event/poster/1elx871720001384.jpg,https://r2.thesportsdb.com/images/media/event/thumb/mg0lmc1720001146.jpg
2085854,2024-07-29,Round 3,Uta Arad,0,Universitatea Cluj,0,https://r2.thesportsdb.com/images/media/event/poster/j7ys3n1720001384.jpg,https://r2.thesportsdb.com/images/media/event/thumb/8kplgu1720001147.jpg
2085852,2024-07-29,Round 3,Petrolul,1,Rapid Bucuresti,0,https://r2.thesportsdb.com/images/media/event/poster/fchdkr1720001383.jpg,https://r2.thesportsdb.com/images/media/event/thumb/2c7dxl1720001146.jpg
2085863,2024-08-02,Round 4,Otelul Galati,1,FC Hermannstadt,0,https://r2.thesportsdb.com/images/media/event/poster/rzxw851720001388.jpg,https://r2.thesportsdb.com/images/media/event/thumb/lwkxvu1720001152.jpg
2085865,2024-08-02,Round 4,Dinamo Bucuresti,4,SCM Gloria Buzău,1,https://r2.thesportsdb.com/images/media/event/poster/guets61720001389.jpg,https://r2.thesportsdb.com/images/media/event/thumb/67ifqd1720001153.jpg
2085866,2024-08-03,Round 4,Farul Constanta,2,Politehnica Iași,0,https://r2.thesportsdb.com/images/media/event/poster/tfj34s1720001390.jpg,https://r2.thesportsdb.com/images/media/event/thumb/fv4j6k1720001154.jpg
2085860,2024-08-04,Round 4,Universitatea Craiova,0,Petrolul,0,https://r2.thesportsdb.com/images/media/event/poster/suaqwm1720001387.jpg,https://r2.thesportsdb.com/images/media/event/thumb/15lw9c1720001151.jpg
2085981,2024-08-04,Round 19,CFR Cluj-Napoca,2,Universitatea Cluj,3,https://r2.thesportsdb.com/images/media/event/poster/4fsk1x1720001439.jpg,https://r2.thesportsdb.com/images/media/event/thumb/5t9mzo1720001222.jpg
2085862,2024-08-05,Round 4,Unirea Slobozia,0,Uta Arad,1,https://r2.thesportsdb.com/images/media/event/poster/ik0vrt1720001388.jpg,https://r2.thesportsdb.com/images/media/event/thumb/eeuehi1720001152.jpg
2085859,2024-08-05,Round 4,Rapid Bucuresti,2,Sepsi OSK Sfântu Gheorghe,2,https://r2.thesportsdb.com/images/media/event/poster/1oyth01720001386.jpg,https://r2.thesportsdb.com/images/media/event/thumb/u10sej1720001150.jpg
2085873,2024-08-09,Round 5,FCSB,3,Farul Constanta,2,https://r2.thesportsdb.com/images/media/event/poster/itams11720001393.jpg,https://r2.thesportsdb.com/images/media/event/thumb/4fh40v1720001158.jpg
2085871,2024-08-10,Round 5,FC Hermannstadt,2,FC Botoșani,1,https://r2.thesportsdb.com/images/media/event/poster/w5141x1720001392.jpg,https://r2.thesportsdb.com/images/media/event/thumb/e5r85q1720001157.jpg
2085870,2024-08-10,Round 5,Uta Arad,1,Otelul Galati,1,https://r2.thesportsdb.com/images/media/event/poster/i1bptu1720001391.jpg,https://r2.thesportsdb.com/images/media/event/thumb/hivyxa1720001156.jpg
2085872,2024-08-10,Round 5,SCM Gloria Buzău,1,Rapid Bucuresti,1,https://r2.thesportsdb.com/images/media/event/poster/5bg3r41720001392.jpg,https://r2.thesportsdb.com/images/media/event/thumb/5cwvoq1720001157.jpg
2085867,2024-08-11,Round 5,Sepsi OSK Sfântu Gheorghe,1,Universitatea Craiova,2,https://r2.thesportsdb.com/images/media/event/poster/hvo6w31720001390.jpg,https://r2.thesportsdb.com/images/media/event/thumb/z9nf2b1720001155.jpg
2085869,2024-08-11,Round 5,CFR Cluj-Napoca,3,Unirea Slobozia,0,https://r2.thesportsdb.com/images/media/event/poster/3kaux91720001391.jpg,https://r2.thesportsdb.com/images/media/event/thumb/jlai0v1720001156.jpg
2085868,2024-08-12,Round 5,Petrolul,0,Universitatea Cluj,0,https://r2.thesportsdb.com/images/media/event/poster/wmvusf1720001390.jpg,https://r2.thesportsdb.com/images/media/event/thumb/8w4pta1720001155.jpg
2085874,2024-08-12,Round 5,Politehnica Iași,2,Dinamo Bucuresti,2,https://r2.thesportsdb.com/images/media/event/poster/de68dh1720001393.jpg,https://r2.thesportsdb.com/images/media/event/thumb/j9uh0r1720001159.jpg
2085876,2024-08-16,Round 6,Unirea Slobozia,1,Petrolul,2,https://r2.thesportsdb.com/images/media/event/poster/dbtx3b1720001394.jpg,https://r2.thesportsdb.com/images/media/event/thumb/txgrjz1720001160.jpg
2085879,2024-08-16,Round 6,Universitatea Craiova,5,SCM Gloria Buzău,1,https://r2.thesportsdb.com/images/media/event/poster/53rrgs1720001395.jpg,https://r2.thesportsdb.com/images/media/event/thumb/74bq8u1720001162.jpg
2085878,2024-08-17,Round 6,FC Botoșani,1,Uta Arad,0,https://r2.thesportsdb.com/images/media/event/poster/b8dbxp1720001395.jpg,https://r2.thesportsdb.com/images/media/event/thumb/a7ykwt1720001161.jpg
2085882,2024-08-17,Round 6,FCSB,0,Politehnica Iași,1,https://r2.thesportsdb.com/images/media/event/poster/h3wfgt1720001396.jpg,https://r2.thesportsdb.com/images/media/event/thumb/unsntl1720001164.jpg
2085881,2024-08-18,Round 6,Rapid Bucuresti,1,Dinamo Bucuresti,1,https://r2.thesportsdb.com/images/media/event/poster/f1dia21720001396.jpg,https://r2.thesportsdb.com/images/media/event/thumb/1z2b9s1720001163.jpg
2085875,2024-08-19,Round 6,Universitatea Cluj,3,Sepsi OSK Sfântu Gheorghe,0,https://r2.thesportsdb.com/images/media/event/poster/7wqiam1720001394.jpg,https://r2.thesportsdb.com/images/media/event/thumb/qrngci1720001159.jpg
2085880,2024-08-19,Round 6,Farul Constanta,3,FC Hermannstadt,2,https://r2.thesportsdb.com/images/media/event/poster/9q4x3d1720001396.jpg,https://r2.thesportsdb.com/images/media/event/thumb/da5oc81720001163.jpg
2085884,2024-08-23,Round 7,Petrolul,0,Otelul Galati,0,https://r2.thesportsdb.com/images/media/event/poster/fx4gyg1720001397.jpg,https://r2.thesportsdb.com/images/media/event/thumb/l6znay1720001165.jpg
2085890,2024-08-23,Round 7,Politehnica Iași,1,Rapid Bucuresti,2,https://r2.thesportsdb.com/images/media/event/poster/nc5isv1720001400.jpg,https://r2.thesportsdb.com/images/media/event/thumb/b7sdvd1720001168.jpg
2085883,2024-08-24,Round 7,Sepsi OSK Sfântu Gheorghe,0,Unirea Slobozia,1,https://r2.thesportsdb.com/images/media/event/poster/hf16hb1720001397.jpg,https://r2.thesportsdb.com/images/media/event/thumb/3a3k2r1720001164.jpg
2085888,2024-08-24,Round 7,Dinamo Bucuresti,2,Universitatea Craiova,1,https://r2.thesportsdb.com/images/media/event/poster/em32qq1720001399.jpg,https://r2.thesportsdb.com/images/media/event/thumb/p7s7ub1720001167.jpg
2085885,2024-08-25,Round 7,CFR Cluj-Napoca,3,FC Botoșani,0,https://r2.thesportsdb.com/images/media/event/poster/ums3vm1720001398.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ftr4ou1720001166.jpg
2085889,2024-08-25,Round 7,FC Hermannstadt,2,FCSB,0,https://r2.thesportsdb.com/images/media/event/poster/vi2oe11720001400.jpg,https://r2.thesportsdb.com/images/media/event/thumb/0pmz7k1720001168.jpg
2085886,2024-08-26,Round 7,SCM Gloria Buzău,0,Universitatea Cluj,2,https://r2.thesportsdb.com/images/media/event/poster/0f5yma1720001398.jpg,https://r2.thesportsdb.com/images/media/event/thumb/d9w8551720001166.jpg
2085887,2024-08-26,Round 7,Uta Arad,1,Farul Constanta,1,https://r2.thesportsdb.com/images/media/event/poster/zq0e0f1720001399.jpg,https://r2.thesportsdb.com/images/media/event/thumb/l411xh1720001167.jpg
